host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,gender,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
"New York, NY",a few days or more,<= 99,<= 78,f,other,t,t,Crown Heights,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,<= 0.15,unknown,<= 16,(2 - 6],> 2,<= 6,1,4.0
"New York, NY",NA,NA,NA,f,other,t,t,Prospect-Lefferts Gardens,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,<= 1,0,f,(0.15 - 0.73],female,<= 16,> 6,> 2,> 9,0,4.71
"New York, NY",within an hour,> 99,(78 - 98],f,Astoria,t,t,Astoria,Queens,Private room in home,Private room,(2 - 3],<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,>1,f,> 0.73,unknown,> 32,(2 - 6],<= 2,> 9,0,4.53
"New York, NY",within a few hours,<= 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,1,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.8
other,within an hour,<= 99,> 98,t,Crown Heights,t,t,Crown Heights,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,t,<= 0.15,male,> 32,<= 2,<= 2,> 9,0,5.0
other,within an hour,> 99,> 98,f,other,t,t,Hell's Kitchen,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,0,t,> 0.73,male,<= 16,<= 2,<= 2,<= 6,0,4.22
"New York, NY",within a day,> 99,NA,f,Park Slope,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,t,> 0.73,unknown,> 32,<= 2,<= 2,(6 - 9],0,4.82
"New York, NY",within a few hours,<= 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,(6 - 9],0,4.5
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,>1,f,> 0.73,female,> 32,<= 2,<= 2,> 9,0,4.8
"New York, NY",within an hour,<= 99,(78 - 98],f,other,t,t,other,Bronx,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,0,t,> 0.73,unknown,> 32,<= 2,<= 2,> 9,0,4.83
"New York, NY",within a few hours,<= 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,(6 - 9],0,4.17
"New York, United States",within a day,> 99,> 98,t,Flatbush,t,t,East Flatbush,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,(6 - 9],1,5.0
"New York, NY",a few days or more,<= 99,NA,f,other,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,male,> 32,<= 2,<= 2,> 9,1,4.63
"New York, NY",within an hour,> 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],> 200,> 12,> 1,>1,t,> 0.73,unknown,(16 - 32],(2 - 6],<= 2,<= 6,0,4.75
"New York, United States",within an hour,> 99,(78 - 98],t,other,t,t,East Flatbush,Brooklyn,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,t,<= 0.15,unknown,> 32,(2 - 6],<= 2,(6 - 9],1,5.0
"New York, NY",within a few hours,> 99,(78 - 98],t,Crown Heights,t,f,Crown Heights,Brooklyn,Private room in home,Private room,> 3,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,1,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,> 9,0,4.5
"New York, NY",NA,NA,<= 78,f,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,male,> 32,<= 2,<= 2,> 9,0,5.0
"New York, NY",within an hour,> 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,>1,t,> 0.73,unknown,(16 - 32],(2 - 6],<= 2,<= 6,0,4.61
other,within an hour,> 99,(78 - 98],t,other,t,t,East Flatbush,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,> 0.73,unknown,> 32,<= 2,<= 2,<= 6,0,4.91
"New York, NY",within a few hours,<= 99,<= 78,t,other,t,t,Midtown,Manhattan,other,Private room,> 3,> 1,> 1,> 2,> 200,> 12,> 1,1,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],<= 2,(6 - 9],0,5.0
"New York, NY",within an hour,> 99,<= 78,t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,1,f,> 0.73,male,> 32,(2 - 6],<= 2,(6 - 9],0,4.98
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,Prospect-Lefferts Gardens,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,> 12,> 1,0,f,> 0.73,female,(16 - 32],> 6,<= 2,> 9,0,4.5
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Harlem,Manhattan,Entire condo,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,> 12,> 1,1,f,> 0.73,male,<= 16,<= 2,<= 2,> 9,0,5.0
"New York, NY",within an hour,<= 99,(78 - 98],f,other,t,f,other,Queens,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,1,f,> 0.73,female,> 32,> 6,<= 2,(6 - 9],0,4.6
"New York, NY",within an hour,> 99,> 98,t,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],female,(16 - 32],<= 2,<= 2,<= 6,1,4.0
"New York, NY",within an hour,<= 99,> 98,f,other,t,t,other,Queens,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,<= 1,0,f,> 0.73,male,(16 - 32],> 6,<= 2,(6 - 9],1,4.69
"New York, NY",within an hour,> 99,> 98,f,other,t,f,other,Queens,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,(100 - 200],(1 - 12],<= 1,0,t,(0.15 - 0.73],male,(16 - 32],<= 2,<= 2,(6 - 9],0,3.5
"New York, NY",within an hour,> 99,> 98,t,Harlem,t,t,East Harlem,Manhattan,other,Entire home/apt,> 3,> 1,> 1,> 2,> 200,> 12,> 1,>1,f,> 0.73,female,> 32,> 6,<= 2,> 9,0,4.72
other,NA,NA,NA,f,Long Island City,t,t,Astoria,Queens,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,f,<= 0.15,unknown,(16 - 32],<= 2,<= 2,<= 6,0,5.0
"New York, NY",within a few hours,> 99,<= 78,t,Hell's Kitchen,t,t,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,> 1,(1 - 2],> 200,(1 - 12],> 1,0,f,(0.15 - 0.73],female,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.73
"New York, United States",within an hour,> 99,(78 - 98],t,other,t,t,East Flatbush,Brooklyn,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,t,(0.15 - 0.73],unknown,> 32,(2 - 6],<= 2,(6 - 9],1,5.0
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Midtown,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],> 200,(1 - 12],> 1,0,f,(0.15 - 0.73],female,> 32,<= 2,<= 2,<= 6,0,4.78
"New York, United States",within a few hours,<= 99,<= 78,t,Williamsburg,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,> 12,> 1,0,f,(0.15 - 0.73],female,> 32,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within a few hours,> 99,<= 78,t,other,t,t,East Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,(0.15 - 0.73],male,> 32,(2 - 6],<= 2,> 9,1,4.95
"New York, United States",within an hour,> 99,> 98,t,other,t,t,East Flatbush,Brooklyn,other,Entire home/apt,<= 2,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,>1,t,> 0.73,unknown,> 32,<= 2,<= 2,<= 6,0,4.91
"New York, United States",within an hour,> 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,t,(0.15 - 0.73],female,(16 - 32],<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within an hour,<= 99,<= 78,,Hell's Kitchen,t,t,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,> 9,0,5.0
other,within an hour,> 99,> 98,f,other,t,t,Hell's Kitchen,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,NA,(100 - 200],(1 - 12],> 1,0,t,(0.15 - 0.73],male,<= 16,(2 - 6],<= 2,<= 6,1,3.5
"New York, NY",within a few hours,> 99,(78 - 98],t,other,t,t,Harlem,Manhattan,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,1,f,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,<= 6,1,5.0
other,within an hour,> 99,> 98,t,Crown Heights,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,> 1,> 2,> 200,> 12,> 1,0,t,> 0.73,male,(16 - 32],<= 2,<= 2,<= 6,0,4.7
other,within a few hours,<= 99,<= 78,,other,t,t,other,Bronx,Entire home,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,<= 1,<= 1,0,f,<= 0.15,unknown,> 32,<= 2,<= 2,<= 6,0,4.0
other,within a few hours,<= 99,<= 78,f,Bedford-Stuyvesant,t,f,Crown Heights,Brooklyn,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,<= 1,0,f,<= 0.15,female,(16 - 32],> 6,<= 2,> 9,1,4.37
other,within an hour,> 99,> 98,f,other,t,t,Hell's Kitchen,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,0,t,> 0.73,male,<= 16,<= 2,<= 2,<= 6,0,3.63
"New York, NY",NA,NA,<= 78,f,Crown Heights,t,t,Crown Heights,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,(100 - 200],> 12,<= 1,0,f,> 0.73,female,> 32,> 6,> 2,(6 - 9],0,4.9
other,within an hour,<= 99,> 98,f,other,f,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],(100 - 200],(1 - 12],> 1,0,t,> 0.73,male,<= 16,<= 2,<= 2,<= 6,0,5.0
"New York, NY",NA,NA,> 98,f,other,t,t,other,Queens,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,f,<= 0.15,male,> 32,> 6,<= 2,> 9,0,4.93
"New York, NY",within an hour,> 99,(78 - 98],f,Cambridge,t,t,Long Island City,Queens,Entire rental unit,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,<= 1,<= 1,0,t,<= 0.15,unknown,> 32,<= 2,<= 2,(6 - 9],0,5.0
other,within an hour,> 99,> 98,f,other,t,t,Hell's Kitchen,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],> 1,0,t,> 0.73,male,<= 16,<= 2,<= 2,<= 6,0,4.25
"New York, United States",within an hour,> 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,other,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,t,(0.15 - 0.73],female,(16 - 32],<= 2,<= 2,(6 - 9],0,5.0
"New York, United States",within a day,<= 99,<= 78,t,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,(1 - 12],> 1,1,f,<= 0.15,male,> 32,(2 - 6],<= 2,> 9,0,4.75
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,t,(0.15 - 0.73],male,> 32,<= 2,<= 2,<= 6,1,4.91
"New York, United States",within an hour,> 99,(78 - 98],t,other,t,t,East Flatbush,Brooklyn,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,(0.15 - 0.73],unknown,> 32,> 6,<= 2,(6 - 9],1,4.87
"New York, NY",within an hour,> 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,<= 0.15,male,<= 16,(2 - 6],<= 2,<= 6,1,5.0
other,within an hour,<= 99,> 98,f,other,f,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,<= 1,> 200,(1 - 12],> 1,>1,t,> 0.73,unknown,(16 - 32],<= 2,<= 2,<= 6,0,4.67
"New York, NY",NA,NA,NA,f,Harlem,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,> 2,(100 - 200],> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],(2 - 6],<= 2,> 9,0,4.33
"New York, NY",within a few hours,<= 99,<= 78,f,Greenpoint,t,t,East Harlem,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],(100 - 200],(1 - 12],> 1,1,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,<= 6,0,4.82
"New York, NY",NA,NA,> 98,t,Crown Heights,t,t,Crown Heights,Brooklyn,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,1,f,> 0.73,unknown,> 32,(2 - 6],<= 2,<= 6,0,4.98
"New York, NY",within a few hours,> 99,> 98,f,Crown Heights,t,t,Crown Heights,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,> 1,(1 - 2],(100 - 200],> 12,<= 1,0,f,> 0.73,female,> 32,> 6,<= 2,> 9,0,4.7
"New York, NY",NA,NA,NA,t,other,t,t,Harlem,Manhattan,Entire condo,Entire home/apt,> 3,<= 1,> 1,> 2,(100 - 200],> 12,<= 1,0,f,> 0.73,female,> 32,<= 2,<= 2,> 9,0,4.84
"New York, NY",within an hour,> 99,(78 - 98],f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in home,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,t,(0.15 - 0.73],female,(16 - 32],(2 - 6],<= 2,<= 6,1,4.5
"New York, NY",within an hour,> 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,NA,<= 100,(1 - 12],<= 1,0,f,<= 0.15,male,(16 - 32],(2 - 6],<= 2,<= 6,1,4.75
"New York, United States",within an hour,> 99,> 98,f,Long Island City,t,f,Long Island City,Queens,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,> 12,> 1,0,t,> 0.73,female,> 32,<= 2,<= 2,<= 6,0,4.83
"New York, NY",NA,NA,> 98,t,other,t,t,other,Queens,Entire loft,Entire home/apt,<= 2,<= 1,<= 1,(1 - 2],> 200,> 12,> 1,1,f,(0.15 - 0.73],male,> 32,> 6,<= 2,(6 - 9],0,4.83
other,within a few hours,<= 99,(78 - 98],f,other,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,<= 6,1,5.0
"New York, NY",within a day,<= 99,<= 78,t,other,t,t,Astoria,Queens,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,f,> 0.73,male,> 32,> 6,<= 2,> 9,0,4.76
"New York, NY",within an hour,> 99,(78 - 98],f,Cambridge,t,t,Long Island City,Queens,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,<= 1,<= 1,0,t,<= 0.15,unknown,> 32,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within a few hours,<= 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,(6 - 9],0,4.8
other,NA,NA,> 98,t,Crown Heights,t,t,Crown Heights,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,1,f,> 0.73,female,(16 - 32],(2 - 6],<= 2,<= 6,0,4.83
"New York, United States",within a few hours,> 99,<= 78,t,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire townhouse,Entire home/apt,> 3,> 1,> 1,> 2,> 200,> 12,> 1,0,f,> 0.73,male,> 32,<= 2,<= 2,<= 6,0,4.95
"New York, NY",within a few hours,> 99,<= 78,t,other,t,t,East Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],> 6,<= 2,> 9,1,4.65
"New York, NY",a few days or more,<= 99,> 98,f,other,t,t,East Flatbush,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,0,t,> 0.73,unknown,> 32,<= 2,<= 2,(6 - 9],0,4.6
"New York, NY",within an hour,> 99,> 98,t,other,t,t,other,Brooklyn,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,> 1,>1,f,> 0.73,unknown,(16 - 32],> 6,<= 2,> 9,1,4.81
"New York, NY",NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,t,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],1,4.1
"New York, NY",NA,NA,(78 - 98],f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire townhouse,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],> 12,> 1,1,f,> 0.73,male,> 32,> 6,<= 2,> 9,0,4.84
"New York, NY",within a few hours,<= 99,(78 - 98],f,other,t,t,Upper West Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,male,(16 - 32],<= 2,<= 2,> 9,1,4.67
"New York, NY",within an hour,> 99,(78 - 98],f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,other,Shared room,<= 2,> 1,<= 1,(1 - 2],<= 100,(1 - 12],<= 1,0,t,<= 0.15,female,> 32,(2 - 6],<= 2,<= 6,1,5.0
"New York, NY",a few days or more,<= 99,<= 78,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,> 0.73,female,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.66
"New York, NY",within an hour,> 99,NA,f,Harlem,t,t,Harlem,Manhattan,Private room in rental unit,Private room,(2 - 3],<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,0,t,> 0.73,unknown,> 32,(2 - 6],<= 2,(6 - 9],1,4.81
"New York, NY",within a day,<= 99,> 98,f,Bushwick,t,t,Bushwick,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],> 12,<= 1,0,f,> 0.73,unknown,> 32,(2 - 6],<= 2,(6 - 9],0,4.81
other,NA,NA,<= 78,f,other,t,f,other,Brooklyn,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,<= 2,<= 2,(6 - 9],1,1.5
other,within an hour,> 99,> 98,f,other,t,f,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,(1 - 2],(100 - 200],(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,<= 16,(2 - 6],<= 2,(6 - 9],0,4.5
other,within a few hours,<= 99,<= 78,f,other,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,0,f,<= 0.15,male,(16 - 32],<= 2,<= 2,<= 6,0,5.0
other,within a few hours,<= 99,<= 78,t,other,t,t,other,Queens,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],<= 100,> 12,<= 1,0,f,> 0.73,male,> 32,(2 - 6],<= 2,(6 - 9],0,4.74
"New York, NY",within a few hours,> 99,> 98,t,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,(1 - 2],<= 100,(1 - 12],> 1,1,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,<= 6,1,5.0
other,within an hour,> 99,> 98,t,other,t,t,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,1,f,(0.15 - 0.73],unknown,(16 - 32],<= 2,<= 2,> 9,0,4.88
"New York, NY",within an hour,> 99,> 98,t,other,t,t,Bedford-Stuyvesant,Brooklyn,other,Shared room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,unknown,(16 - 32],> 6,> 2,> 9,1,5.0
"New York, NY",within a few hours,> 99,(78 - 98],t,Crown Heights,t,f,Crown Heights,Brooklyn,Private room in home,Private room,> 3,> 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,> 9,1,5.0
other,within an hour,<= 99,> 98,f,other,f,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,1,t,> 0.73,unknown,(16 - 32],<= 2,<= 2,<= 6,0,4.5
"New York, NY",within an hour,> 99,<= 78,t,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,<= 1,> 200,> 12,> 1,0,f,(0.15 - 0.73],female,> 32,> 6,<= 2,> 9,0,4.76
"New York, United States",within an hour,> 99,> 98,f,Bedford-Stuyvesant,t,f,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,>1,t,> 0.73,female,(16 - 32],> 6,<= 2,> 9,0,4.53
"New York, NY",within an hour,> 99,> 98,t,other,t,t,Bedford-Stuyvesant,Brooklyn,other,Shared room,<= 2,> 1,<= 1,<= 1,<= 100,> 12,> 1,1,f,(0.15 - 0.73],unknown,(16 - 32],> 6,<= 2,> 9,1,4.9
"New York, NY",within a day,> 99,> 98,t,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,> 0.73,female,> 32,<= 2,<= 2,(6 - 9],1,4.81
other,within an hour,> 99,> 98,t,Greenpoint,t,f,Greenpoint,Brooklyn,Entire home,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,> 12,> 1,1,f,> 0.73,female,> 32,(2 - 6],<= 2,<= 6,0,4.97
"New York, NY",within an hour,> 99,> 98,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],male,> 32,<= 2,<= 2,<= 6,1,4.2
"New York, NY",within a few hours,<= 99,<= 78,f,other,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,(2 - 6],<= 2,(6 - 9],0,5.0
"New York, NY",within an hour,> 99,> 98,t,other,t,t,Bedford-Stuyvesant,Brooklyn,other,Shared room,<= 2,> 1,<= 1,<= 1,<= 100,> 12,<= 1,0,f,<= 0.15,unknown,(16 - 32],> 6,<= 2,> 9,1,4.69
"New York, NY",within an hour,> 99,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],> 200,> 12,> 1,>1,f,> 0.73,unknown,(16 - 32],(2 - 6],<= 2,<= 6,0,4.65
other,within a few hours,<= 99,<= 78,f,Bedford-Stuyvesant,t,f,Crown Heights,Brooklyn,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,<= 2,<= 2,> 9,0,5.0
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,Crown Heights,Brooklyn,other,Entire home/apt,> 3,> 1,> 1,> 2,> 200,(1 - 12],<= 1,0,f,<= 0.15,unknown,> 32,<= 2,<= 2,<= 6,0,5.0
"New York, NY",within a day,<= 99,<= 78,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,(2 - 6],<= 2,(6 - 9],1,4.33
"New York, NY",within an hour,> 99,<= 78,t,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,female,> 32,(2 - 6],<= 2,(6 - 9],0,4.8
other,within a few hours,> 99,(78 - 98],t,Bedford-Stuyvesant,f,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,> 3,<= 1,> 1,> 2,> 200,> 12,> 1,>1,f,> 0.73,female,> 32,<= 2,<= 2,<= 6,0,4.97
