host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
NA,NA,NA,f,other,t,Queens,other,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,5.0
NA,NA,NA,f,Bushwick,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,4.4
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,>9.0,0,4.92
NA,NA,>98.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,4.7
within an hour,>99.0,>98.0,f,Bedford-Stuyvesant,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,>12.0,<=1.0,0,t,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,>9.0,0,4.86
NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,other,t,Queens,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,>9.0,0,4.96
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,4.67
NA,NA,NA,f,other,f,Bronx,Private room in home,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,4.75
within a day,>99.0,NA,f,Flushing,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,>1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.61
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,t,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within a few hours,>99.0,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,>6.0,<=2.0,>9.0,0,4.9
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,>98.0,f,other,t,Manhattan,Private room in condo,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,t,>0.73,(16.0-32.0],<=2.0,<=2.0,>9.0,0,4.87
NA,NA,NA,f,other,t,Brooklyn,other,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,>98.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,>9.0,0,4.69
within a few hours,<=99.0,<=78.0,f,other,t,Queens,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.81
NA,NA,NA,f,other,t,Queens,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,5.0
NA,NA,NA,f,Park Slope,t,Brooklyn,Entire condo,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,<=2.0,>9.0,0,4.88
within a few hours,<=99.0,(78.0-98.0],f,Elmhurst,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within a few hours,<=99.0,(78.0-98.0],f,Elmhurst,t,Queens,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,>98.0,t,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],1,5.0
within an hour,<=99.0,>98.0,t,Crown Heights,t,Brooklyn,Entire townhouse,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
within a few hours,>99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.93
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within a few hours,<=99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,4.73
within a few hours,<=99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.63
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,>98.0,f,Long Island City,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.49
within an hour,<=99.0,(78.0-98.0],f,other,t,Manhattan,Room in hotel,Hotel room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,<=1.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,>98.0,t,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,4.0
NA,NA,>98.0,t,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,5.0
within an hour,>99.0,(78.0-98.0],f,Cambridge,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,<=1.0,<=1.0,0,t,<=0.15,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,5.0
within a few hours,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.57
within a day,>99.0,NA,f,Flatbush,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,3.17
within an hour,>99.0,>98.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,4.83
within an hour,>99.0,>98.0,t,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within a few hours,<=99.0,(78.0-98.0],f,Elmhurst,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,1,4.5
within a few hours,<=99.0,<=78.0,f,other,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within a few hours,>99.0,>98.0,,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,>6.0,<=2.0,>9.0,0,4.69
NA,NA,<=78.0,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],1,4.77
within a few hours,>99.0,>98.0,f,other,t,Brooklyn,Private room in home,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,5.0
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,>1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,1,f,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.54
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,<=2.0,(6.0-9.0],0,4.92
within an hour,>99.0,>98.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,1.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,<=16.0,>6.0,>2.0,>9.0,0,4.05
within a few hours,<=99.0,<=78.0,f,other,t,Manhattan,Room in hotel,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.89
a few days or more,<=99.0,>98.0,t,other,t,Queens,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.9
within an hour,>99.0,(78.0-98.0],t,Hell's Kitchen,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,1,4.79
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.71
within an hour,>99.0,(78.0-98.0],f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,<=2.0,<=2.0,(6.0-9.0],1,4.68
NA,NA,>98.0,t,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,NA,f,other,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,<=6.0,1,3.0
within an hour,>99.0,(78.0-98.0],t,other,t,Bronx,other,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],>1.0,1,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
within a few hours,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,>2.0,>9.0,0,4.9
within an hour,>99.0,(78.0-98.0],t,other,t,Bronx,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,1,f,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.89
within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Private room in condo,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.88
NA,NA,NA,f,Upper West Side,t,Manhattan,Private room in condo,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,>2.0,>9.0,0,4.92
within an hour,>99.0,(78.0-98.0],f,Cambridge,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,(1.0-12.0],<=1.0,1,t,<=0.15,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.5
NA,NA,NA,f,Bushwick,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,4.75
NA,NA,>98.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,>1.0,0,f,>0.73,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,<=78.0,f,Jamaica,t,Queens,Private room in home,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.5
NA,NA,NA,f,Jamaica,t,Queens,Entire home,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,4.67
within an hour,<=99.0,(78.0-98.0],f,other,t,Manhattan,Room in hotel,Hotel room,>3.0,NA,>1.0,NA,NA,(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,(78.0-98.0],f,Cambridge,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,2.5
within a few hours,>99.0,(78.0-98.0],t,Bushwick,t,Brooklyn,Entire townhouse,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,1,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.91
within a few hours,>99.0,<=78.0,f,other,t,Queens,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.5
within an hour,>99.0,>98.0,f,Bushwick,t,Brooklyn,Entire home,Entire home/apt,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],>1.0,1,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],0,4.5
NA,NA,NA,f,other,t,Brooklyn,Entire townhouse,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],>200.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.0
within a few hours,<=99.0,<=78.0,f,other,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,4.82
within a day,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],>6.0,>2.0,>9.0,0,4.54
NA,NA,NA,f,other,t,Manhattan,other,Private room,>3.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,0,4.92
a few days or more,<=99.0,<=78.0,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,0,4.49
NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.38
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,4.88
NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,1,5.0
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire condo,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.67
NA,NA,>98.0,t,other,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,>1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,4.94
within a few hours,>99.0,>98.0,t,Bushwick,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,>9.0,0,4.91
NA,NA,NA,f,Jamaica,t,Queens,Entire home,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,4.5
within an hour,>99.0,<=78.0,f,Park Slope,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,5.0
a few days or more,<=99.0,<=78.0,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,NA,<=1.0,(100.0-200.0],>12.0,<=1.0,0,f,(0.15-0.73],>32.0,>6.0,>2.0,>9.0,0,4.52
NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],<=16.0,(2.0-6.0],>2.0,<=6.0,0,4.95
NA,NA,>98.0,t,Jamaica,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Room in hotel,Private room,<=2.0,<=1.0,<=1.0,NA,>200.0,>12.0,>1.0,0,t,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,0,4.82
NA,NA,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,>2.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,0,5.0
within a few hours,>99.0,(78.0-98.0],t,Bushwick,t,Brooklyn,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,>1,f,>0.73,>32.0,>6.0,<=2.0,(6.0-9.0],0,4.95
within an hour,>99.0,>98.0,,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],>1.0,1,t,>0.73,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,4.58
NA,NA,NA,t,Williamsburg,t,Brooklyn,other,Entire home/apt,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],>12.0,>1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,>9.0,0,4.97
within an hour,<=99.0,>98.0,t,other,t,Manhattan,Private room in rental unit,Private room,>3.0,<=1.0,>1.0,>2.0,>200.0,>12.0,>1.0,0,t,(0.15-0.73],>32.0,(2.0-6.0],<=2.0,<=6.0,1,4.96
NA,NA,>98.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,>32.0,>6.0,<=2.0,>9.0,0,4.67
within an hour,>99.0,>98.0,t,Flushing,t,Queens,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,>9.0,0,4.17
within an hour,<=99.0,>98.0,f,other,t,Bronx,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,0,4.55
within an hour,>99.0,>98.0,t,other,t,Bronx,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],1,4.52
within an hour,>99.0,>98.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,<=6.0,0,4.67
within a few hours,>99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,2.0
within a day,>99.0,>98.0,f,Bushwick,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,<=6.0,0,5.0
NA,NA,NA,f,other,t,Queens,Private room in home,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,NA,f,Williamsburg,f,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
